DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG, Reason
DSFFLOW-6379,In Progress,Upgrade,Core Network,EPC,22,22,2,09-Sep-25,09-Sep-25,19-Sep-25,23-Sep-25,23-Sep-25,,14,14,216.0,216.0,112.0,216.0,0%,9%,93%,52%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-4624,In Progress,Maiden Installation,Core Network,Signaling,18,18,0,09-Aug-25,09-Aug-25,22-Aug-25,29-Jun-26,29-Jun-26,,324,324,570.0,570.0,111.0,559.0,2%,0%,15%,19%,Green,[In Prog] late start; 
DSFFLOW-6271,In Progress,Upgrade,Network Management,Resource Orchestration,28,25,11,03-Mar-25,03-Mar-25,09-Sep-25,09-Oct-25,10-Oct-25,,220,221,310.0,310.0,110.4166667,294.1666667,5%,44%,92%,36%,Amber,[In Prog] efforts burnt misaligned with time progress; late start; 
DSFFLOW-5683,In Progress,Maiden Installation,Core Network,"Cloud, EPC, UDM",131,131,1,25-Aug-25,25-Aug-25,04-Sep-25,22-Dec-25,22-Dec-25,,119,119,2340.0,2372.0,102.0,2372.0,0%,1%,24%,4%,Green,[In Prog] late start; 
DSFFLOW-5578,In Progress,Upgrade,Core Network,Cloud,20,20,1,27-Aug-25,04-Sep-25,04-Sep-25,30-Oct-25,30-Oct-25,,64,56,286.0,286.0,96.0,286.0,0%,5%,33%,34%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-662,In Progress,Maiden Installation,Network Management,Resource Orchestration,63,50,8,04-Mar-25,04-Mar-25,05-Jun-25,31-Dec-26,31-Dec-26,,667,667,576.2,206.3,92.96666667,538.7833333,-161%,16%,30%,45%,Red,[In Prog] projecting 5%+ EAC effort overrun; efforts burnt misaligned with work progress; late start; 
DSFFLOW-4880,In Progress,Migration,Core Network,"Cloud-3PP/MPBN, IMS, MSS, Signaling, UDM",135,135,0,13-Aug-25,13-Aug-25,05-Sep-25,05-Dec-25,05-Dec-25,,114,114,2814.2,2814.2,88.1,2814.1,0%,0%,36%,3%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-6398,In Progress,Expansion,Core Network,"MSS, Signaling",67,67,0,12-Aug-25,12-Aug-25,12-Sep-25,29-Aug-25,31-Oct-25,,17,80,1525.0,1525.0,85.0,1440.0,6%,0%,52%,6%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-970,In Progress,Upgrade,Core Network,Cloud-3PP/MPBN,27,27,2,08-May-25,08-May-25,07-Aug-25,29-Jul-25,29-Jul-25,,82,82,660.75,660.75,81.5,658.25,0%,8%,166%,12%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-6286,In Progress,Upgrade,Core Network,EPC,18,18,2,25-Aug-25,25-Aug-25,10-Sep-25,18-Sep-25,20-Oct-25,,24,56,141.0,141.0,80.0,141.0,0%,11%,51%,57%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-4442,In Progress,Upgrade,Network Management,Element Management,25,24,10,27-Jul-25,27-Jul-25,06-Aug-25,18-Sep-25,18-Sep-25,,53,53,418.2,418.2,242.5,415.7,1%,42%,107%,58%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-6476,In Progress,Upgrade,Core Network,MSS,12,12,0,01-Aug-25,01-Aug-25,18-Sep-25,15-Oct-25,15-Oct-25,,75,75,220.0,220.0,,220.0,0%,0%,70%,0%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-5417,In Progress,"Maiden Installation, Business Configuration",BOS,Core Commerce,39,39,1,20-May-25,20-May-25,28-Aug-25,30-Jul-26,30-Jul-26,,436,436,20355.0,20355.0,428.0,19931.0,2%,3%,29%,2%,Green,[In Prog] late start; 
DSFFLOW-3060,In Progress,Upgrade,Core Network,UDM,71,44,20,25-Jun-25,16-Jul-25,16-Jul-25,28-Nov-25,28-Nov-25,,156,135,1032.0,832.0,428.0,756.0,9%,45%,51%,51%,Green,[In Prog] 
