DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-3760,In Progress,Maiden Installation,Core Network,"Signaling, UDM",29,29,0,31-Mar-25,31-Mar-25,29-Jul-25,31-Mar-26,31-Mar-26,,365,365,6752,6752,904,6752,0%,0%,39%,13%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1568,In Progress,Upgrade,BOS,D&A Mediation,33,33,9,25-May-25,25-May-25,30-Jun-25,28-Aug-25,28-Aug-25,,95,95,1614.5,1614.5,886.8933333,1634.89,-1%,27%,91%,57%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-3109,In Progress,Upgrade,Core Network,IMS,150,148,33,14-Jul-25,14-Jul-25,14-Jul-25,29-Aug-25,29-Aug-25,29-Aug-25,46,46,2101,2101,881.76,1939.26,8%,22%,100%,42%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; actual End Date exceeds Today; 
DSFFLOW-1103,In Progress,Maiden Installation,"Core Network, Network Management","EPC, Resource Orchestration",44,44,33,16-May-25,16-May-25,19-May-25,30-Aug-25,30-Aug-25,,106,106,938,938,863,892,5%,75%,90%,92%,Green,[In Prog] 
DSFFLOW-1713,In Progress,Upgrade,Core Network,UDM,18,18,2,15-Mar-25,15-Mar-25,21-Jul-25,30-Jul-25,30-Jul-25,,137,137,2328,2328,858,2328,0%,11%,114%,37%,Amber,[In Prog] efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-4085,In Progress,Upgrade,Core Network,Cloud,206,206,11,07-Jul-25,07-Jul-25,04-Aug-25,14-Nov-25,14-Nov-25,,130,130,7116.98,7116.98,838.59,7021.91,1%,5%,34%,12%,Green,[In Prog] late start; 
DSFFLOW-4778,In Progress,Upgrade,Core Network,"EPC, IMS, Signaling",70,70,49,22-Jun-25,22-Jun-25,14-Aug-25,30-Aug-25,30-Aug-25,,69,69,1167,1167,752,1030,12%,70%,84%,64%,Green,[In Prog] late start; 
DSFFLOW-576,In Progress,Upgrade,BOS,Monetization Billing,34,34,17,03-Mar-25,03-Mar-25,13-May-25,14-Aug-25,10-Oct-25,,164,221,8446.6,8446.6,4286.6,8237.316667,2%,50%,77%,51%,Green,[In Prog] late start; 
DSFFLOW-2656,In Progress,Upgrade,Network Management,Element Management & Reporting,98,98,39,01-Jul-25,01-Jul-25,01-Jul-25,19-Dec-25,19-Dec-25,,171,171,2840,2840,903.7333333,2817,1%,40%,29%,32%,Green,[In Prog] 
DSFFLOW-1662,In Progress,Upgrade,Network Management,Element Management & Reporting,67,67,36,07-May-25,14-Jul-25,06-Jun-25,31-Jul-25,15-Sep-25,15-Sep-25,85,63,1440,1440,738,1355,6%,54%,100%,51%,Green,[In Prog] early start; actual End Date exceeds Today; 
DSFFLOW-3044,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Signaling, UDM",263,263,42,09-Jul-25,09-Jul-25,15-Jul-25,31-Dec-25,31-Dec-25,,175,175,3496,3496,1105.1,3432,2%,16%,24%,32%,Green,[In Prog] 
DSFFLOW-1911,In Progress,Migration,Core Network,EPC,41,41,19,03-Apr-25,03-Apr-25,13-Jun-25,30-Nov-25,30-Nov-25,,241,241,3433,3433,1148,3433,0%,46%,57%,33%,Green,[In Prog] late start; 
DSFFLOW-2402,In Progress,Upgrade,BOS,Monetization Charging,169,169,24,05-May-25,05-May-25,08-Jul-25,29-Jun-26,30-Jun-26,,420,421,18647.44,18647.44,2017.5,17668,5%,15%,25%,11%,Green,[In Prog] late start; 
DSFFLOW-115,In Progress,Upgrade,Network Management,Element Management & Reporting,192,181,81,16-Mar-25,17-Mar-25,27-Mar-25,29-Jun-25,29-Aug-25,,105,165,3732,3580,1948,2722,24%,45%,94%,54%,Green,[In Prog] late start; 
DSFFLOW-1307,In Progress,Expansion,BOS,Monetization Charging,161,161,155,11-May-25,11-May-25,11-May-25,21-Aug-25,21-Aug-25,,102,102,3979.5,3979.5,1943.516667,2756.016667,31%,96%,98%,49%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1584,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Core Network Automation, EPC, IMS, Resource Orchestration, UDM",53,53,39,12-May-25,12-May-25,12-May-25,15-Sep-25,15-Sep-25,,126,126,2633.99,2633.99,1933,2607.25,1%,74%,79%,73%,Green,[In Prog] 
DSFFLOW-2123,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Core Network Automation, EPC, Exposure, UDM",81,81,18,07-May-25,07-May-25,20-Jun-25,30-Oct-26,30-Oct-26,,541,541,5900,5900,1876,5735,3%,22%,19%,32%,Green,[In Prog] late start; 
DSFFLOW-3475,In Progress,Upgrade,Core Network,"EPC, IMS, Signaling, UDM",190,190,20,30-Apr-25,30-Apr-25,05-May-25,29-Sep-25,29-Sep-25,,152,152,3427.5,3427.5,1781.25,3235.5,6%,11%,73%,52%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; 
DSFFLOW-2078,In Progress,"Upgrade, Maiden Installation",Core Network,"EPC, IMS",46,46,39,03-Apr-25,03-Apr-25,17-Jun-25,06-Sep-25,06-Sep-25,,156,156,1930,1930,2306,2434,-26%,85%,89%,119%,Red,[In Prog] effort budget breached; projecting 5%+ EAC effort overrun; efforts burnt misaligned with work progress; late start; 
