DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-4457,Closed,Upgrade,Network Management,Element Management & Reporting,38,14,14,04-Aug-25,08-Jul-25,05-Aug-25,26-Dec-25,15-Sep-25,13-Aug-25,144,69,946.5,505.5,405.5,405.5,20%,100%,53%,80%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3547,Closed,Upgrade,Core Network,MSS,13,13,13,06-Jul-25,08-Jul-25,08-Jul-25,14-Aug-25,08-Aug-25,18-Aug-25,39,31,220,220,210,210,5%,100%,131%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; 
DSFFLOW-1135,Closed,Upgrade,BOS,D&A Mediation,34,34,34,19-May-25,19-May-25,19-May-25,20-Jun-25,20-Jun-25,20-Jun-25,32,32,569.1,569.1,548,548,4%,100%,100%,96%,Green,[Closed] efforts saved; 
DSFFLOW-1879,Closed,Maiden Installation,Network Management,Element Management & Reporting,25,14,14,26-May-25,26-May-25,26-May-25,30-Jun-25,30-Jun-25,30-Jun-25,35,35,304.5,298,268.5,268.5,10%,100%,100%,90%,Green,[Closed] efforts saved; 
DSFFLOW-2625,Closed,Upgrade,Core Network,IMS,30,28,28,29-Jun-25,29-Jun-25,30-Jun-25,31-Jul-25,25-Jul-25,01-Aug-25,32,26,267,267,267.01,267.01,0%,100%,126%,100%,Red,[Closed] schedule overrun > 10%; 
DSFFLOW-340,Closed,Upgrade,Core Network,UDM,17,17,7,04-Mar-25,04-Mar-25,04-Mar-25,30-Jun-25,30-Jun-25,11-Aug-25,118,118,264,264,264,240,9%,41%,135%,100%,Red,[Closed] incomplete work; effort budget spent; schedule overrun > 10%; 
DSFFLOW-3649,Closed,Upgrade,Core Network,IMS,31,31,12,03-Jul-25,03-Jul-25,24-Jul-25,30-Dec-25,30-Dec-25,30-Jul-25,180,180,2715,2715,570,2615,4%,39%,15%,21%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-97,Closed,Upgrade,Network Management,Element Management & Reporting,50,47,47,12-Mar-25,12-Mar-25,13-Mar-25,31-May-25,31-Jul-25,15-Jul-25,80,141,844,801.5,575,575,29%,100%,89%,72%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1026,Closed,Upgrade,Network Management,Resource Orchestration,22,19,19,20-Apr-25,20-Apr-25,13-Jun-25,29-Jun-25,29-Jun-25,09-Jul-25,70,70,277.75,260.77,260.77,260.77,0%,100%,114%,100%,Red,[Closed] schedule overrun > 10%; late start; 
DSFFLOW-3700,Closed,Upgrade,Core Network,Signaling,20,19,18,04-Jun-25,04-Jun-25,24-Jul-25,31-Jul-26,31-Jul-26,25-Jul-25,422,422,138,138,138,137,1%,95%,12%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; late start; 
DSFFLOW-386,Closed,Maiden Installation,Core Network,EPC,30,30,30,10-Nov-24,10-Nov-24,01-Jan-25,26-Jan-25,26-Jan-25,30-Jun-25,77,77,1773,1773,993,993,44%,100%,299%,57%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-4427,Closed,Upgrade,Network Management,Element Management & Reporting,24,18,18,28-Jul-25,28-Jul-25,06-Aug-25,08-Aug-25,08-Aug-25,11-Aug-25,11,11,148,148,140,140,5%,100%,125%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; late start; 
DSFFLOW-1383,Closed,Upgrade,Core Network,EPC,63,63,0,31-Dec-24,31-Dec-24,01-Jan-25,30-Jun-25,30-Jun-25,27-May-25,181,181,952,952,952,942,1%,0%,81%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-1445,Closed,Upgrade,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801,639.5,600.2697222,600.2697222,6%,100%,100%,94%,Green,[Closed] efforts saved; 
DSFFLOW-1200,Closed,Upgrade,Network Management,Element Management & Reporting,192,35,35,08-May-25,10-Feb-25,22-Apr-25,31-Aug-26,31-Oct-25,19-Jun-25,480,263,3156,1055.5,605.5,605.5,43%,100%,49%,57%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3458,Closed,Upgrade,Core Network,Cloud,18,18,14,22-Jul-25,22-Jul-25,29-Jul-25,29-Aug-25,29-Aug-25,11-Aug-25,38,38,242,242,242,242,0%,78%,54%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-3381,Closed,Upgrade,Core Network,Signaling,19,19,19,10-Jun-25,04-Jun-25,04-Jun-25,30-Jul-25,22-Jul-25,22-Jul-25,50,48,179,179,178.5,178.5,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-550,Closed,Upgrade,Network Management,Element Management & Reporting,43,43,43,30-Apr-25,07-Apr-25,02-Jul-25,27-Feb-26,23-Jul-25,18-Jul-25,303,107,624,624,618,618,1%,100%,95%,99%,Green,[Closed] ahead of schedule; efforts saved; late start; 
DSFFLOW-168,Closed,Upgrade,BOS,Monetization Charging,59,59,59,21-Mar-25,18-Mar-25,18-Mar-25,03-Sep-25,03-Sep-25,13-Jun-25,166,169,790.8,790.8,652.5,652.5,17%,100%,52%,83%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-2419,Closed,Upgrade,Core Network,IMS,52,52,52,05-Jun-25,05-Jun-25,24-Jul-25,26-Jun-25,26-Jun-25,24-Jul-25,21,21,322,322,200,200,38%,100%,227%,62%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3581,Closed,Upgrade,Core Network,MSS,13,13,13,22-Jul-25,03-Jul-25,03-Jul-25,15-Aug-25,08-Aug-25,18-Aug-25,24,36,220,220,204.5,204.5,8%,100%,127%,93%,Red,[Closed] schedule overrun > 10%; efforts saved; 
DSFFLOW-921,Closed,Upgrade,Core Network,UDM,23,23,23,09-May-25,09-May-25,14-May-25,31-Jul-25,31-Jul-25,04-Jul-25,83,83,202.5,202.5,232,232,-15%,100%,68%,115%,Red,[Closed] effort overrun > 1%; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-1745,Closed,"Upgrade, Expansion","Core Network, Network Management","EPC, Exposure, Resource Orchestration, UDM",101,101,89,04-Jun-25,04-Jun-25,06-Jun-25,30-Aug-25,30-Aug-25,28-Jul-25,87,87,1424,1424,1432,1432,-1%,88%,63%,101%,Red,[Closed] incomplete work; effort budget spent; effort overrun < 1%; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-3611,Closed,Upgrade,Core Network,Cloud,17,17,15,23-Jul-25,23-Jul-25,24-Jul-25,28-Aug-25,28-Aug-25,07-Aug-25,36,36,106,106,88,88,17%,88%,43%,83%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-2560,Closed,Upgrade,Network Management,Resource Orchestration,24,18,18,26-Jun-25,26-Jun-25,27-Jun-25,08-Jul-25,08-Jul-25,07-Jul-25,12,12,222,222,222,222,0%,100%,92%,100%,Green,[Closed] ahead of schedule; 
DSFFLOW-401,Closed,"Upgrade, Expansion, Migration",Core Network,EPC,152,152,62,10-Jul-24,10-Jul-24,30-Apr-25,12-Dec-25,12-Dec-25,23-Jun-25,520,520,2112,2112,1746.1,2112,0%,41%,67%,83%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2858,Closed,Upgrade,BOS,Monetization Charging,34,34,34,09-May-25,09-Jun-25,16-Jul-25,25-Jul-25,25-Jul-25,06-Aug-25,77,46,486,486,486,486,0%,100%,126%,100%,Red,[Closed] schedule overrun > 10%; late start; 
DSFFLOW-32,Closed,Upgrade,Network Management,Element Management & Reporting,57,31,31,08-Dec-24,08-Dec-24,09-Dec-24,17-Feb-25,18-Feb-25,17-Feb-25,71,72,910,459,457,457,0%,100%,99%,100%,Green,[Closed] ahead of schedule; 
DSFFLOW-1629,Closed,Upgrade,Core Network,"EPC, UDM, Signaling",175,175,175,01-Apr-25,01-Apr-25,03-Jun-25,29-Jun-25,29-Jun-25,07-Jul-25,89,89,2725.129167,2725.129167,2134.05,2134.05,22%,100%,111%,78%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-310,Closed,Upgrade,Core Network,UDM,19,19,19,20-Apr-25,20-Apr-25,05-Jun-25,31-May-25,31-May-25,05-Jun-25,41,41,267,267,315,315,-18%,100%,113%,118%,Red,[Closed] effort overrun > 1%; schedule overrun > 10%; late start; 
DSFFLOW-2352,Closed,Upgrade,Core Network,Signaling,26,26,23,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,30-Jul-25,05-Aug-25,32,58,511,511,369,452,12%,88%,112%,72%,Red,[Closed] incomplete work; schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2947,Closed,Upgrade,Core Network,MSS,21,21,21,18-Mar-25,08-May-25,08-May-25,15-Aug-25,15-Jul-25,15-Jul-25,150,68,411.5,411.5,382.5,382.5,8%,100%,100%,93%,Green,[Closed] efforts saved; 
DSFFLOW-49,Closed,Upgrade,Network Management,Element Management & Reporting,30,30,30,19-Feb-25,20-Feb-25,28-Feb-25,29-Aug-25,17-Apr-25,27-Mar-25,191,56,488,488,430,430,12%,100%,63%,88%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-2138,Closed,"Upgrade, Maiden Installation",Network Management,Resource Orchestration,52,37,36,12-Jun-25,12-Jun-25,18-Jun-25,31-Dec-25,31-Aug-25,14-Aug-25,202,80,646.6497222,559.9,412.9,425.65,24%,97%,79%,74%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-80,Closed,Upgrade,Core Network,"EPC, UDM, IMS",176,150,150,06-Feb-25,06-Feb-25,10-Mar-25,06-Jun-25,06-Jun-25,05-Jun-25,120,120,1786,1786,1758,1758,2%,100%,99%,98%,Green,[Closed] ahead of schedule; efforts saved; late start; 
DSFFLOW-2813,In Progress,Maiden Installation,Network Management,Resource Orchestration,11,11,1,04-May-25,04-May-25,10-Jul-25,31-Mar-26,31-Mar-26,,331,331,1125,1125,241,1125,0%,9%,33%,21%,Green,[In Prog] late start; 
DSFFLOW-1864,In Progress,Upgrade,Network Management,Element Management & Reporting,35,35,35,09-Jun-25,09-Jun-25,18-Jun-25,31-Dec-25,31-Dec-25,,205,205,506,506,397,397,22%,100%,35%,78%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-3730,In Progress,Migration,Core Network,UDM,16,15,0,28-Jul-25,28-Jul-25,12-Aug-25,31-Oct-25,31-Oct-25,,95,95,1283,1283,241.5,1283,0%,0%,24%,19%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1400,In Progress,Maiden Installation,Core Network,EPC,37,37,5,22-May-23,22-May-23,27-May-25,30-Jul-25,30-Jul-25,,800,800,1432,1432,376,1432,0%,15%,102%,26%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-4396,In Progress,Upgrade,Core Network,MSS,43,43,7,04-Aug-25,04-Aug-25,05-Aug-25,06-Oct-25,06-Oct-25,,63,63,734,734,229.5,734,0%,16%,25%,31%,Green,[In Prog] 
DSFFLOW-1008,In Progress,Upgrade,Network Management,Resource Orchestration,26,25,22,16-Jun-25,03-Jun-25,18-Jun-25,30-Aug-25,30-Aug-25,,75,88,451,451,370.1,428,5%,88%,88%,82%,Green,[In Prog] late start; 
DSFFLOW-4124,In Progress,Maiden Installation,Network Management,Element Management & Reporting,113,113,6,31-Jul-25,31-Jul-25,04-Aug-25,30-Jan-26,30-Jan-26,,183,183,4680,4680,384,4664,0%,5%,11%,8%,Green,[In Prog] 
DSFFLOW-2901,In Progress,Maiden Installation,Network Management,Resource Orchestration,34,33,13,01-Jun-25,01-Jun-25,08-Jul-25,30-Aug-25,30-Aug-25,,90,90,777.75,777.75,248.75,742.75,5%,39%,88%,32%,Amber,[In Prog] efforts burnt misaligned with time progress; late start; 
DSFFLOW-1790,In Progress,Upgrade,Core Network,Cloud,85,85,35,02-Jun-25,02-Jun-25,10-Jul-25,31-Mar-26,31-Mar-26,,302,302,726,726,350,728,0%,41%,26%,48%,Green,[In Prog] late start; 
DSFFLOW-1614,In Progress,Upgrade,Network Management,Resource Orchestration,54,52,52,28-May-25,28-May-25,04-Jun-25,30-Jan-26,30-Jan-26,,247,247,299.7533333,299.7533333,300.12,300.12,0%,100%,34%,100%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-2264,In Progress,"Upgrade, Maiden Installation",BOS,Monetization Charging,571,571,3,16-Jun-25,16-Jun-25,16-Jun-25,16-Feb-26,16-Feb-26,,245,245,5197.5,5197.5,341.5,5045,3%,1%,26%,8%,Green,[In Prog] 
DSFFLOW-3513,In Progress,Maiden Installation,Network Management,Activation,69,69,0,11-Jul-25,11-Jul-25,24-Jul-25,26-Dec-25,26-Dec-25,,168,168,3075.1,3075.1,255,3075.1,0%,0%,24%,8%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-3311,In Progress,Expansion,BOS,Monetization Charging,415,415,50,27-Jul-25,27-Jul-25,22-Jul-25,30-Sep-25,30-Sep-25,,65,65,3078.6,3078.6,323.75,3028.1,2%,12%,36%,11%,Green,[In Prog] 
DSFFLOW-2610,In Progress,Upgrade,Core Network,Signaling,11,11,0,27-Jun-25,27-Jun-25,02-Jul-25,31-Dec-25,31-Dec-25,,187,187,605,605,320,605,0%,0%,29%,53%,Red,[In Prog] efforts burning without any work progress; time ticking without any work progress; 
DSFFLOW-662,In Progress,Maiden Installation,Network Management,Resource Orchestration,71,54,6,04-Mar-25,04-Mar-25,05-Jun-25,31-Dec-26,31-Dec-26,,667,667,914.7,515.0666667,312.2166667,847.7833333,-65%,11%,25%,61%,Red,[In Prog] projecting 5%+ EAC effort overrun; efforts burnt outweighing work output; late start; 
DSFFLOW-3562,In Progress,Upgrade,Core Network,Cloud,23,23,2,23-Jul-25,23-Jul-25,23-Jul-25,30-Sep-25,30-Sep-25,,69,69,844,844,312,872,-3%,9%,40%,37%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; efforts burnt misaligned with work progress; 
DSFFLOW-1697,In Progress,Upgrade,Core Network,EPC,30,21,20,26-May-25,26-May-25,12-Jun-25,31-Aug-25,31-Aug-25,,97,97,346,346,310,310,10%,95%,88%,90%,Green,[In Prog] late start; 
DSFFLOW-3836,In Progress,Upgrade,Network Management,Activation,48,48,18,31-May-25,31-May-25,30-Jul-25,29-Sep-25,29-Sep-25,,121,121,612,612,274,620,-1%,38%,66%,45%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; late start; 
DSFFLOW-3342,In Progress,Upgrade,Network Management,"Activation, Resource Orchestration",145,140,15,10-Jul-25,10-Jul-25,10-Jul-25,21-Nov-25,21-Nov-25,,134,134,3933,3933,279.5,3864.5,2%,11%,30%,8%,Green,[In Prog] 
DSFFLOW-3060,In Progress,Upgrade,Core Network,UDM,71,71,10,25-Jun-25,25-Jun-25,16-Jul-25,28-Nov-25,28-Nov-25,,156,156,967,967,303,921,5%,15%,36%,31%,Green,[In Prog] late start; 
DSFFLOW-3498,In Progress,Migration,Core Network,"EPC, Signaling, UDM",77,77,0,18-Jun-25,18-Jun-25,23-Jul-25,31-Dec-25,31-Dec-25,,196,196,1514.6,1514.6,292.5,1457.6,4%,0%,32%,19%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1151,In Progress,Upgrade,BOS,Monetization Charging,498,498,14,01-Jun-25,01-Jun-25,01-Jun-25,28-Feb-26,28-Feb-26,,272,272,3023,3023,368.5,2963,2%,3%,29%,12%,Green,[In Prog] 
DSFFLOW-3852,In Progress,Migration,Core Network,Cloud,118,118,0,22-Jul-25,22-Jul-25,31-Jul-25,31-Dec-25,31-Dec-25,,162,162,2002.5,2002.5,288,2002.5,0%,0%,18%,15%,Green,[In Prog] late start; 
DSFFLOW-245,In Progress,"Upgrade, Maiden Installation",Network Management,Element Management & Reporting,869,573,36,15-May-25,07-Apr-25,,01-Oct-25,01-Oct-25,,139,177,24189,17322,11151,16314,6%,6%,76%,64%,Red,[In Prog] efforts burnt outweighing work output; work progress misaligned with time progress; 
DSFFLOW-4564,In Progress,Upgrade,Core Network,Cloud,32,32,0,22-Jul-25,22-Jul-25,08-Aug-25,15-Jan-26,15-Jan-26,,177,177,1211,1211,208,1193,1%,0%,16%,17%,Green,[In Prog] late start; 
DSFFLOW-2544,In Progress,Maiden Installation,Core Network,Cloud-3PP/MPBN,10,10,0,19-Apr-25,19-Apr-25,26-Jun-25,31-Oct-25,31-Oct-25,,195,195,1340,1340,66,1274,5%,0%,63%,5%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-3327,In Progress,Upgrade,Network Management,Resource Orchestration,26,26,4,15-Jul-25,15-Jul-25,21-Jul-25,31-Oct-25,31-Oct-25,,108,108,334,334,58,334,0%,15%,33%,17%,Green,[In Prog] 
DSFFLOW-4794,In Progress,Upgrade,Network Management,Element Management & Reporting,23,18,3,11-Aug-25,11-Aug-25,15-Aug-25,28-Aug-25,29-Aug-25,,17,18,282,282,52,280,1%,17%,47%,18%,Green,[In Prog] 
DSFFLOW-4605,In Progress,Upgrade,Core Network,Cloud,127,127,0,24-Jul-25,24-Jul-25,11-Aug-25,31-Dec-26,31-Dec-26,,525,525,2196,2196,48,2196,0%,0%,5%,2%,Green,[In Prog] late start; 
DSFFLOW-4028,In Progress,Maiden Installation,Core Network,Cloud,33,33,0,14-Jul-25,14-Jul-25,30-Jul-25,05-Sep-25,05-Sep-25,,53,53,1736,1736,42,1694,2%,0%,69%,2%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4379,In Progress,Upgrade,Network Management,Element Management & Reporting,69,69,3,03-Aug-25,04-Aug-25,04-Aug-25,31-Dec-25,31-Dec-25,,150,149,1002.5,1002.5,41,995.5,1%,4%,11%,4%,Green,[In Prog] 
DSFFLOW-1679,In Progress,Maiden Installation,Core Network,Cloud-3PP/MPBN,11,11,0,16-May-25,16-May-25,22-Jul-25,31-Dec-26,31-Dec-26,,594,594,216,216,35.25,216,0%,0%,16%,16%,Green,[In Prog] late start; 
DSFFLOW-2336,In Progress,Upgrade,Core Network,Signaling,26,26,0,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,15-Aug-25,,32,74,364,364,35,359,1%,0%,105%,10%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-1994,In Progress,Upgrade,Network Management,Resource Orchestration,39,38,4,22-Jun-25,22-Jun-25,24-Jun-25,10-Jul-25,10-Jul-25,,18,18,313.5,305.5,28,289.5,5%,11%,311%,9%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-4760,In Progress,Upgrade,Network Management,Resource Orchestration,46,46,3,12-Aug-25,12-Aug-25,14-Aug-25,29-Sep-25,29-Sep-25,,48,48,200.08,200.08,17,200.08,0%,8%,16%,8%,Green,[In Prog] 
DSFFLOW-4694,In Progress,Upgrade,Core Network,Cloud,48,48,0,13-Jul-25,13-Jul-25,12-Aug-25,30-Dec-25,30-Dec-25,,170,170,2298,2298,15,2283,1%,0%,22%,1%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4498,In Progress,Upgrade,Core Network,"EPC, IMS, MSS, UDM",210,210,0,15-Jul-25,15-Jul-25,08-Aug-25,15-Jan-26,15-Jan-26,,184,184,3907,3907,8.5,3898.5,0%,0%,19%,0%,Green,[In Prog] late start; 
DSFFLOW-970,In Progress,Upgrade,Core Network,Cloud-3PP/MPBN,16,16,0,08-May-25,08-May-25,07-Aug-25,29-Jul-25,29-Jul-25,,82,82,237.5,237.5,5,232.5,2%,0%,125%,2%,Amber,[In Prog] time ticking without any work progress; late start; 
