DSF,Status,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,Work Prog,Time Prog,Effort Prog,RAG,Reason
DSFFLOW-2047,In Progress,Network Management,Element Management & Reporting,326,326,25,08-May-25,08-May-25,18-Jun-25,31-Aug-26,31-Aug-26,,480,480,9025,9025,191,8%,13%,3%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2765,In Progress,Core Network,"EPC,Cloud",49,49,,11-Nov-24,11-Nov-24,07-Jul-25,20-Dec-24,20-Dec-24,,39,39,1560,1560,,0%,612%,,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2009,In Progress,Core Network,"EPC,UDM,IMS,Cloud",172,172,81,29-Apr-25,29-Apr-25,23-Jun-25,31-Mar-26,31-Mar-26,,336,336,3074,3074,1771,47%,22%,58%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1994,In Progress,Network Management,Resource Orchestration,39,38,4,22-Jun-25,22-Jun-25,24-Jun-25,10-Jul-25,10-Jul-25,,18,18,314,306,28,10%,115%,10%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-1926,In Progress,Core Network,Cloud,97,97,2,26-May-25,26-May-25,10-Jul-25,31-Dec-26,31-Dec-26,,584,584,2189,2189,327.6,2%,8%,15%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1911,In Progress,Core Network,EPC,41,41,,03-Apr-25,03-Apr-25,13-Jun-25,29-Sep-25,29-Sep-25,,179,179,3433,3433,1279,0%,57%,38%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-1894,In Progress,Core Network,EPC,25,25,1,31-Dec-24,31-Dec-24,26-Jun-25,30-Dec-25,30-Dec-25,,364,364,1584,1584,688,4%,53%,44%,Red,[In Prog] Late start; Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-2656,In Progress,Network Management,Element Management & Reporting,98,98,12,01-Jul-25,01-Jul-25,01-Jul-25,19-Dec-25,19-Dec-25,,171,171,2840,2840,234.7,12%,8%,9%,Green,[In Prog] Progress variance within control limts; 
DSFFLOW-2169,In Progress,Core Network,"EPC,UDM,Signaling",327,327,,15-Jun-25,15-Jun-25,24-Jun-25,20-Aug-27,20-Aug-27,,796,796,29309,29309,0.11,0%,3%,1%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1864,In Progress,Network Management,Element Management & Reporting,35,35,32,09-Jun-25,09-Jun-25,18-Jun-25,31-Dec-25,31-Dec-25,,205,205,506,506,343,91%,16%,68%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1840,In Progress,Network Management,Element Management & Reporting,1221,1221,282,08-Jun-25,08-Jun-25,23-Jun-25,29-Nov-25,29-Nov-25,,174,174,17156,17156,2501.34,23%,20%,15%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1790,In Progress,Core Network,Cloud,85,85,19,02-Jun-25,02-Jun-25,10-Jul-25,31-Mar-26,31-Mar-26,,302,302,726,726,140,22%,13%,20%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1745,In Progress,"Core Network,Network Management","Resource Orchestration,EPC,UDM,Exposure",101,101,13,04-Jun-25,04-Jun-25,06-Jun-25,30-Aug-25,30-Aug-25,,87,87,1424,1424,574,12%,45%,41%,Red,[In Prog] Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-1729,In Progress,Network Management,Element Management & Reporting,67,67,4,07-May-25,07-May-25,09-Jun-25,31-Oct-25,31-Oct-25,,177,177,1208,1208,148,5%,38%,13%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-1697,In Progress,Core Network,EPC,30,21,9,26-May-25,26-May-25,12-Jun-25,31-Aug-25,31-Aug-25,,97,97,346,346,310,42%,50%,90%,Red,[In Prog] Late start; Efforts burnt outweigh work output; 
DSFFLOW-2901,In Progress,Network Management,Resource Orchestration,34,33,7,01-Jun-25,01-Jun-25,08-Jul-25,30-Aug-25,30-Aug-25,,90,90,778,778,45.5,21%,47%,6%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-1614,In Progress,Network Management,Resource Orchestration,54,54,53,28-May-25,28-May-25,04-Jun-25,30-Jan-26,30-Jan-26,,247,247,300,300,315.14,98%,18%,106%,Red,[In Prog] Effort budget already exceeded; 
DSFFLOW-1584,In Progress,"Core Network,Network Management","Activation,Resource Orchestration,EPC,UDM,IMS,Core Network Automation",41,41,5,12-May-25,12-May-25,12-May-25,15-Aug-25,15-Aug-25,,95,95,2458,2458,1292,12%,65%,53%,Red,[In Prog] Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-2813,In Progress,Network Management,Resource Orchestration,11,11,,04-May-25,04-May-25,10-Jul-25,31-Mar-26,31-Mar-26,,331,331,1125,1125,241,0%,21%,22%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2882,In Progress,BOS,"D&A Mediation,Monetization Billing",37,37,,10-May-25,10-May-25,10-Jul-25,18-Nov-25,18-Nov-25,,192,192,2845,2845,51,0%,33%,2%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2750,In Progress,Core Network,IMS,189,189,4,24-Jun-25,24-Jun-25,09-Jul-25,26-Dec-25,26-Dec-25,,185,185,6009,6009,284,2%,10%,5%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2234,In Progress,Network Management,Element Management & Reporting,38,38,11,17-Jun-25,17-Jun-25,30-Jun-25,31-Oct-25,31-Oct-25,,136,136,652,652,172,29%,19%,27%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2641,In Progress,Network Management,Element Management & Reporting,24,24,3,01-Jul-25,01-Jul-25,01-Jul-25,29-Sep-25,29-Sep-25,,90,90,850,850,113.7,12%,15%,14%,Green,[In Prog] Progress variance within control limts; 
DSFFLOW-2625,In Progress,Core Network,IMS,30,30,4,29-Jun-25,29-Jun-25,30-Jun-25,31-Jul-25,22-Jul-25,22-Jul-25,32,23,267,267,58.25,13%,100%,22%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-2610,In Progress,Core Network,Signaling,11,11,,27-Jun-25,27-Jun-25,02-Jul-25,31-Dec-25,31-Dec-25,,187,187,605,605,120,0%,9%,20%,Red,[In Prog] Efforts burning without any work progress; 
DSFFLOW-2674,In Progress,Core Network,EPC,41,41,,01-May-24,01-May-24,10-Jul-25,30-Sep-25,30-Sep-25,,517,517,1454,1454,,0%,84%,,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2708,In Progress,Core Network,"Signaling,Cloud",14,14,,01-Jun-25,01-Jun-25,04-Jul-25,31-Oct-25,31-Oct-25,,152,152,315,315,13,0%,29%,5%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2593,In Progress,Core Network,EPC,16,16,,25-May-25,25-May-25,02-Jul-25,31-Dec-25,31-Dec-25,,220,220,2581,2581,419,0%,22%,17%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2724,In Progress,"Core Network,Network Management","Resource Orchestration,EPC,UDM,IMS,MSS,Core Network Automation",38,38,,01-Jun-25,01-Jun-25,07-Jul-25,29-Sep-25,29-Sep-25,,120,120,8513,8513,72,0%,35%,1%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2544,In Progress,Core Network,Cloud-3PP/MPBN,78,78,,19-Apr-25,19-Apr-25,26-Jun-25,31-Oct-25,31-Oct-25,,195,195,8303,8303,,0%,43%,,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2529,In Progress,Core Network,"EPC,UDM,IMS,MSS,Cloud",15,15,,24-Jun-25,24-Jun-25,26-Jun-25,29-Aug-25,29-Aug-25,,66,66,2325,2325,1797,0%,29%,78%,Red,[In Prog] Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2497,In Progress,"Core Network,Network Management","Activation,Resource Orchestration,EPC",96,96,14,29-May-25,29-May-25,27-Jun-25,27-Feb-26,27-Feb-26,,274,274,2112,2112,466,15%,16%,23%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2219,In Progress,Core Network,Cloud,24,24,,09-Jun-25,09-Jun-25,18-Jun-25,12-Dec-25,12-Dec-25,,186,186,518,518,172.75,0%,18%,34%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2482,In Progress,Core Network,EPC,24,24,,09-Jun-25,09-Jun-25,24-Jun-25,12-Dec-25,12-Dec-25,,186,186,816,816,141,0%,18%,18%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2452,In Progress,Network Management,Resource Orchestration,44,44,1,29-May-25,29-May-25,11-Jul-25,27-Feb-26,27-Feb-26,,274,274,1157,1157,74,2%,16%,7%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2435,In Progress,Core Network,EPC,16,16,,16-Jun-25,16-Jun-25,07-Jul-25,30-Jun-25,30-Jun-25,,14,14,558,558,272,0%,186%,49%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2402,In Progress,BOS,Monetization Charging,169,169,24,05-May-25,05-May-25,08-Jul-25,29-Jun-26,29-Jun-26,,420,420,18648,18648,24,15%,16%,1%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2384,In Progress,Network Management,Resource Orchestration,12,12,,16-Jun-25,16-Jun-25,24-Jun-25,30-Jun-26,30-Jun-26,,379,379,1531,1531,452.5,0%,8%,30%,Red,[In Prog] Late start; Efforts burning without any work progress; 
DSFFLOW-2368,In Progress,Network Management,"Activation,Resource Orchestration",34,34,15,01-Jun-25,01-Jun-25,20-Jun-25,31-Aug-33,31-Aug-33,,3013,3013,767,767,431.7,44%,1%,57%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2352,In Progress,Core Network,Signaling,26,26,,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,04-Jul-25,,32,32,360,360,30,0%,127%,9%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-1568,In Progress,BOS,D&A Mediation,33,33,2,25-May-25,25-May-25,30-Jun-25,28-Aug-25,28-Aug-25,,95,95,3229,3229,280.45,6%,52%,9%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-2321,In Progress,Core Network,Exposure,51,51,1,02-Jun-25,02-Jun-25,19-Jun-25,29-Aug-25,29-Aug-25,,88,88,882,882,140.25,1%,47%,16%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-2264,In Progress,BOS,Monetization Charging,571,571,,14-May-25,14-May-25,20-Jun-25,03-Apr-26,03-Apr-26,,324,324,5198,5198,,0%,18%,,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2249,In Progress,BOS,Monetization Charging,396,396,1,22-Jun-25,22-Jun-25,27-Jun-25,19-Sep-25,19-Sep-25,,89,89,3684,3684,255,0%,24%,7%,Amber,[In Prog] Time ticking without any work progress; 
DSFFLOW-2467,In Progress,BOS,D&A Mediation,25,25,,11-Jun-25,11-Jun-25,26-Jun-25,30-Nov-25,30-Nov-25,,172,172,1233,1233,263,0%,19%,22%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-2336,In Progress,Core Network,Signaling,26,26,,02-Jun-25,02-Jun-25,27-Jun-25,04-Jul-25,04-Jul-25,,32,32,365,365,35,0%,127%,10%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-1599,In Progress,Network Management,Element Management & Reporting,63,63,5,15-May-25,15-May-25,24-Jun-25,29-Aug-25,29-Aug-25,,106,106,1072,1072,120,8%,57%,12%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-741,In Progress,Network Management,Element Management & Reporting,159,159,108,22-Apr-25,22-Apr-25,19-May-25,31-Aug-25,31-Aug-25,,131,131,4986,4986,3574.83,67%,62%,72%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-115,In Progress,Network Management,Element Management & Reporting,192,192,72,16-Mar-25,17-Mar-25,27-Mar-25,29-Jun-25,29-Aug-25,,105,165,3382,3382,1922.04,37%,71%,57%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-952,In Progress,Core Network,UDM,14,13,2,12-May-25,12-May-25,12-May-25,29-Jun-25,29-Jun-25,,48,48,531,531,350.75,15%,128%,67%,Red,[In Prog] Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-133,In Progress,BOS,Core Commerce,423,423,71,17-Mar-25,17-Mar-25,09-Apr-25,30-Jun-25,15-Aug-25,,105,151,3067,3067,765,16%,78%,25%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-151,In Progress,Network Management,Element Management & Reporting,87,86,40,13-Apr-25,13-Apr-25,13-Apr-25,30-Jul-25,30-Jul-25,,108,108,1719,1711,838,46%,84%,49%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-168,In Progress,BOS,Monetization Charging,59,59,34,21-Mar-25,18-Mar-25,18-Mar-25,03-Sep-25,03-Sep-25,,166,169,791,791,641,57%,69%,82%,Red,[In Prog] Efforts burnt outweigh work output; 
DSFFLOW-862,In Progress,Core Network,MSS,63,63,8,05-May-25,05-May-25,19-May-25,31-Dec-25,31-Dec-25,,240,240,2475,2475,892,12%,29%,37%,Red,[In Prog] Late start; Efforts burnt outweigh work output; 
DSFFLOW-206,In Progress,Core Network,IMS,214,206,60,16-Feb-25,16-Feb-25,22-Apr-25,18-Dec-25,18-Dec-25,,305,305,3892,3892,1756.7,29%,48%,46%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-798,In Progress,Core Network,Cloud,77,77,,05-May-25,01-Apr-25,03-Jun-25,30-Dec-25,20-Mar-26,,239,353,8456,8456,385.75,0%,29%,5%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-760,In Progress,BOS,"Monetization Charging,D&A Mediation",2546,2546,325,08-Apr-25,08-Apr-25,12-May-25,20-Apr-26,20-Apr-26,,377,377,30977,30977,5091.7,12%,25%,17%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1416,In Progress,"Core Network,Network Management","Activation,EPC,UDM,IMS,MSS",153,153,7,23-Apr-25,23-Apr-25,27-May-25,31-Dec-25,31-Dec-25,,252,252,9050,9050,995.51,4%,32%,12%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-677,In Progress,Core Network,IMS,101,101,64,24-Apr-25,24-Apr-25,14-Apr-25,31-Dec-25,31-Dec-25,30-Sep-25,251,251,1584,1584,990,63%,63%,63%,Green,[In Prog] Early start; Progress variance within control limts; 
DSFFLOW-662,In Progress,Network Management,Resource Orchestration,63,62,1,04-Mar-25,04-Mar-25,05-Jun-25,31-Dec-26,31-Dec-26,,667,667,915,915,253.27,1%,19%,28%,Red,[In Prog] Late start; Efforts burnt outweigh work output; 
DSFFLOW-245,In Progress,Network Management,Element Management & Reporting,869,599,7,09-Apr-25,09-Apr-25,,29-Aug-25,29-Aug-25,,142,142,24213,17728,1708,1%,67%,10%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-591,In Progress,Core Network,Cloud-3PP/MPBN,30,30,8,22-Apr-25,22-Apr-25,05-Jun-25,30-Jun-25,30-Jun-25,,69,69,850,850,229.5,26%,118%,27%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-576,In Progress,BOS,Monetization Billing,31,31,9,03-Mar-25,03-Mar-25,13-May-25,14-Aug-25,14-Aug-25,,164,164,6866,6866,3105.2,29%,80%,46%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-550,In Progress,Network Management,Element Management & Reporting,42,42,39,30-Apr-25,07-Apr-25,02-Jul-25,27-Feb-26,23-Jul-25,,303,107,614,614,598,92%,90%,98%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-535,In Progress,Core Network,EPC,14,14,13,01-Jan-25,31-Dec-24,01-Jan-25,31-Jul-25,29-May-25,30-Apr-25,211,149,149,149,206,92%,80%,139%,Red,[In Prog] Effort budget already exceeded; 
DSFFLOW-447,In Progress,BOS,Monetization Billing,36,36,12,01-Apr-25,01-Apr-25,20-May-25,05-Dec-25,05-Dec-25,,248,248,10327,10327,3981.4,33%,41%,39%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-507,In Progress,Network Management,Element Management & Reporting,527,527,115,28-Feb-25,01-Mar-25,26-Jun-25,30-Jul-25,30-Jun-25,,152,121,6645,6645,1980.5,21%,111%,30%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-477,In Progress,Core Network,EPC,76,76,29,08-Nov-24,08-Nov-24,29-Apr-25,28-Feb-26,28-Feb-26,,477,477,2868,2868,2014,38%,51%,71%,Red,[In Prog] Late start; Efforts burnt outweigh work output; 
DSFFLOW-1008,In Progress,Network Management,Resource Orchestration,25,25,14,29-Apr-25,29-Apr-25,18-Jun-25,30-Jul-25,30-Jul-25,,92,92,285,285,279,57%,81%,98%,Red,[In Prog] Late start; Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-462,In Progress,Core Network,MSS,28,28,10,17-Mar-25,17-Mar-25,30-Apr-25,30-Jun-25,30-Jun-25,,105,105,469,469,384,35%,113%,82%,Red,[In Prog] Late start; Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-64,In Progress,Network Management,Element Management & Reporting,47,47,24,02-Mar-25,02-Mar-25,13-Mar-25,30-Aug-25,30-Aug-25,,181,181,1240,1240,802.51,51%,73%,65%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-1087,In Progress,Network Management,Element Management & Reporting,58,58,4,14-May-25,14-May-25,17-May-25,29-Nov-25,29-Nov-25,,199,199,972,972,219.5,6%,30%,23%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-1103,In Progress,"Core Network,Network Management","Resource Orchestration,EPC",44,44,26,16-May-25,16-May-25,19-May-25,30-Aug-25,30-Aug-25,,106,106,938,938,882.15,59%,56%,95%,Red,[In Prog] Efforts burnt outweigh work output; 
DSFFLOW-1400,In Progress,Core Network,EPC,37,37,5,22-May-23,22-May-23,27-May-25,30-Jul-25,30-Jul-25,,800,800,1432,1432,376,13%,97%,27%,Amber,[In Prog] Late start; Slow work progress relative to schedule; 
DSFFLOW-1368,In Progress,Core Network,EPC,21,21,,23-May-25,23-May-25,25-Jun-25,31-Dec-25,31-Dec-25,,222,222,1215,1215,672.03,0%,23%,56%,Red,[In Prog] Late start; Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-1151,In Progress,BOS,Monetization Charging,498,498,1,01-Jun-25,01-Jun-25,01-Jun-25,28-Feb-26,28-Feb-26,,272,272,3023,3023,57.5,0%,15%,2%,Green,[In Prog] Progress variance within control limts; 
DSFFLOW-1166,In Progress,Core Network,Cloud,70,70,17,19-May-25,19-May-25,06-Jun-25,30-Dec-25,30-Dec-25,,225,225,1196,1196,484.6,24%,24%,41%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-1337,In Progress,BOS,Monetization Charging,338,338,5,14-Apr-25,14-Apr-25,30-May-25,30-Oct-26,30-Oct-26,,564,564,5063,5063,377.5,1%,16%,8%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-97,In Progress,Network Management,Element Management & Reporting,50,47,32,12-Mar-25,12-Mar-25,13-Mar-25,31-May-25,31-Jul-25,,80,141,826,784,553.25,68%,87%,71%,Green,[In Prog] Progress variance within control limts; 
DSFFLOW-1247,In Progress,Core Network,"EPC,UDM,IMS",168,168,,06-May-25,06-May-25,,31-Dec-25,31-Dec-25,,239,239,2729,2729,577.25,0%,29%,22%,Red,[In Prog] Efforts burning without any work progress; Time ticking without any work progress; 
DSFFLOW-1263,In Progress,Core Network,EPC,36,36,8,11-May-25,11-May-25,11-Jul-25,01-Aug-25,01-Aug-25,,82,82,871,871,380.75,22%,77%,44%,Red,[In Prog] Late start; Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-1278,In Progress,Core Network,IMS,312,309,65,08-May-25,08-May-25,22-May-25,15-Sep-25,15-Sep-25,,130,130,4282,4282,1839.05,21%,51%,43%,Red,[In Prog] Late start; Efforts burnt outweigh work output; Slow work progress relative to schedule; 
DSFFLOW-1041,In Progress,Core Network,IMS,17,13,6,14-May-25,14-May-25,16-May-25,30-Apr-27,30-Apr-27,27-Jun-25,716,716,716,716,640,46%,6%,90%,Red,[In Prog] Efforts burnt outweigh work output; 
DSFFLOW-1307,In Progress,BOS,Monetization Charging,161,161,69,11-May-25,11-May-25,11-May-25,21-Aug-25,21-Aug-25,,102,102,2949,2949,870.5,42%,62%,30%,Amber,[In Prog] Slow work progress relative to schedule; 
DSFFLOW-1646,On Hold,Network Management,Element Management & Reporting,67,67,21,27-May-25,27-May-25,09-Jun-25,29-Aug-25,29-Aug-25,,94,94,1440,1440,454.01,31%,50%,32%,Green,[Hold] Late start; Progress variance within control limts; 
DSFFLOW-1662,On Hold,Network Management,Element Management & Reporting,67,67,20,07-May-25,07-May-25,06-Jun-25,31-Jul-25,31-Jul-25,,85,85,1440,1440,438,29%,79%,31%,Amber,[Hold] Late start; Slow work progress relative to schedule; 
DSFFLOW-1057,On Hold,Core Network,EPC,86,86,2,07-May-25,07-May-25,16-May-25,30-Jan-26,30-Jan-26,30-Jan-26,268,268,3894,3894,238.04,2%,100%,7%,Amber,[Hold] Late start; Slow work progress relative to schedule; 
DSFFLOW-2138,On Hold,Network Management,Resource Orchestration,52,50,7,12-Jun-25,12-Jun-25,18-Jun-25,31-Dec-25,31-Dec-25,,202,202,641,641,191.3,15%,15%,30%,Green,[Hold] Progress variance within control limts; 
DSFFLOW-325,Assigned,Core Network,MSS,34,34,,22-Apr-25,22-Apr-25,,31-Dec-26,31-Dec-26,,618,618,512,512,40,0%,13%,8%,Red,[Assigned] with no work done; efforts burnt; 82 days past due start date; 
DSFFLOW-2916,Assigned,Core Network,MSS,12,12,,15-May-25,15-May-25,,21-Dec-26,21-Dec-26,,585,585,204,204,,0%,10%,,Amber,[Assigned] with no work done; 59 days past due start date; 
DSFFLOW-2931,Assigned,Network Management,Activation,46,46,,08-Jun-25,08-Jun-25,,30-Dec-25,30-Dec-25,,205,205,1062,1062,,0%,17%,,Amber,[Assigned] with no work done; 35 days past due start date; 
